row_idx,unit_id,valid_len
0,100001,192
1,100002,287
2,100003,179
3,100004,189
4,100005,269
5,100006,188
6,100007,259
7,100008,150
8,100009,201
9,100010,222
10,100011,240
11,100012,170
12,100013,163
13,100014,180
14,100015,207
15,100016,209
16,100017,276
17,100018,195
18,100019,158
19,100020,234
20,100021,195
21,100022,202
22,100023,168
23,100024,147
24,100025,230
25,100026,199
26,100027,156
27,100028,165
28,100029,163
29,100030,194
30,100031,234
31,100032,191
32,100033,200
33,100034,195
34,100035,181
35,100036,158
36,100037,170
37,100038,194
38,100039,128
39,100040,188
40,100041,216
41,100042,196
42,100043,207
43,100044,192
44,100045,158
45,100046,256
46,100047,214
47,100048,231
48,100049,215
49,100050,198
50,100051,213
51,100052,213
52,100053,195
53,100054,257
54,100055,193
55,100056,275
56,100057,137
57,100058,147
58,100059,231
59,100060,172
60,100061,185
61,100062,180
62,100063,174
63,100064,283
64,100065,153
65,100066,202
66,100067,313
67,100068,199
68,100069,362
69,100070,137
70,100071,208
71,100072,213
72,100073,213
73,100074,166
74,100075,229
75,100076,210
76,100077,154
77,100078,231
78,100079,199
79,100080,185
80,100081,240
81,100082,214
82,100083,293
83,100084,267
84,100085,188
85,100086,278
86,100087,178
87,100088,213
88,100089,217
89,100090,154
90,100091,135
91,100092,341
92,100093,155
93,100094,258
94,100095,283
95,100096,336
96,100097,202
97,100098,156
98,100099,185
99,100100,200
100,200001,149
101,200002,269
102,200003,206
103,200004,235
104,200005,154
105,200006,175
106,200007,174
107,200008,151
108,200009,199
109,200010,184
110,200011,271
111,200012,249
112,200013,227
113,200014,193
114,200015,209
115,200016,154
116,200017,180
117,200018,209
118,200019,163
119,200020,154
120,200021,189
121,200022,192
122,200023,211
123,200024,191
124,200025,205
125,200026,187
126,200027,176
127,200028,200
128,200029,151
129,200030,166
130,200031,343
131,200032,281
132,200033,195
133,200034,205
134,200035,196
135,200036,203
136,200037,210
137,200038,177
138,200039,214
139,200040,193
140,200041,262
141,200042,221
142,200043,211
143,200044,205
144,200045,151
145,200046,201
146,200047,246
147,200048,239
148,200049,168
149,200050,222
150,200051,293
151,200052,174
152,200053,148
153,200054,199
154,200055,159
155,200056,163
156,200057,140
157,200058,162
158,200059,194
159,200060,177
160,200061,218
161,200062,184
162,200063,168
163,200064,282
164,200065,206
165,200066,170
166,200067,145
167,200068,185
168,200069,136
169,200070,156
170,200071,194
171,200072,196
172,200073,239
173,200074,158
174,200075,231
175,200076,244
176,200077,185
177,200078,161
178,200079,181
179,200080,221
180,200081,288
181,200082,200
182,200083,170
183,200084,259
184,200085,347
185,200086,190
186,200087,170
187,200088,365
188,200089,188
189,200090,188
190,200091,245
191,200092,188
192,200093,189
193,200094,306
194,200095,198
195,200096,208
196,200097,145
197,200098,167
198,200099,202
199,200100,212
200,200101,211
201,200102,164
202,200103,280
203,200104,228
204,200105,303
205,200106,272
206,200107,145
207,200108,156
208,200109,220
209,200110,221
210,200111,200
211,200112,378
212,200113,232
213,200114,203
214,200115,206
215,200116,207
216,200117,177
217,200118,344
218,200119,174
219,200120,129
220,200121,210
221,200122,185
222,200123,226
223,200124,267
224,200125,168
225,200126,199
226,200127,256
227,200128,303
228,200129,202
229,200130,182
230,200131,280
231,200132,183
232,200133,159
233,200134,247
234,200135,294
235,200136,160
236,200137,148
237,200138,200
238,200139,194
239,200140,214
240,200141,163
241,200142,208
242,200143,166
243,200144,224
244,200145,251
245,200146,263
246,200147,207
247,200148,279
248,200149,289
249,200150,222
250,200151,177
251,200152,184
252,200153,292
253,200154,193
254,200155,226
255,200156,299
256,200157,237
257,200158,308
258,200159,241
259,200160,212
260,200161,224
261,200162,194
262,200163,203
263,200164,249
264,200165,165
265,200166,204
266,200167,232
267,200168,217
268,200169,185
269,200170,179
270,200171,258
271,200172,174
272,200173,151
273,200174,193
274,200175,202
275,200176,164
276,200177,181
277,200178,148
278,200179,181
279,200180,297
280,200181,255
281,200182,200
282,200183,207
283,200184,171
284,200185,162
285,200186,194
286,200187,168
287,200188,148
288,200189,209
289,200190,257
290,200191,219
291,200192,133
292,200193,172
293,200194,148
294,200195,190
295,200196,239
296,200197,154
297,200198,205
298,200199,219
299,200200,227
300,200201,191
301,200202,197
302,200203,269
303,200204,237
304,200205,198
305,200206,221
306,200207,184
307,200208,150
308,200209,201
309,200210,184
310,200211,214
311,200212,149
312,200213,196
313,200214,146
314,200215,226
315,200216,229
316,200217,162
317,200218,237
318,200219,156
319,200220,234
320,200221,178
321,200222,195
322,200223,218
323,200224,174
324,200225,156
325,200226,178
326,200227,184
327,200228,262
328,200229,176
329,200230,186
330,200231,144
331,200232,242
332,200233,190
333,200234,159
334,200235,183
335,200236,239
336,200237,209
337,200238,156
338,200239,263
339,200240,266
340,200241,183
341,200242,273
