row_idx,unit_id,valid_len
0,1,192
1,2,287
2,3,179
3,4,189
4,5,269
5,6,188
6,7,259
7,8,150
8,9,201
9,10,222
10,11,240
11,12,170
12,13,163
13,14,180
14,15,207
15,16,209
16,17,276
17,18,195
18,19,158
19,20,234
20,21,195
21,22,202
22,23,168
23,24,147
24,25,230
25,26,199
26,27,156
27,28,165
28,29,163
29,30,194
30,31,234
31,32,191
32,33,200
33,34,195
34,35,181
35,36,158
36,37,170
37,38,194
38,39,128
39,40,188
40,41,216
41,42,196
42,43,207
43,44,192
44,45,158
45,46,256
46,47,214
47,48,231
48,49,215
49,50,198
50,51,213
51,52,213
52,53,195
53,54,257
54,55,193
55,56,275
56,57,137
57,58,147
58,59,231
59,60,172
60,61,185
61,62,180
62,63,174
63,64,283
64,65,153
65,66,202
66,67,313
67,68,199
68,69,362
69,70,137
70,71,208
71,72,213
72,73,213
73,74,166
74,75,229
75,76,210
76,77,154
77,78,231
78,79,199
79,80,185
80,81,240
81,82,214
82,83,293
83,84,267
84,85,188
85,86,278
86,87,178
87,88,213
88,89,217
89,90,154
90,91,135
91,92,341
92,93,155
93,94,258
94,95,283
95,96,336
96,97,202
97,98,156
98,99,185
99,100,200
