ctx,run,p_ref,p_ctx,w0,tau_used,precision,recall,f1,accuracy,tp,tn,fp,fn
1,train_classify_ctx1_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.0058795835021295696,1.0,0.34200000762939453,0.352622061482821,0.36312849162011174,0.35779816513761475,0.9923357384516002,195.0,90438.0,358.0,342.0
2,train_classify_ctx2_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.00574282696708326,0.9766060911620772,0.9600000381469727,0.360917658261283,0.3793103448275862,0.3698854970041344,0.9924015778547287,198.0,87909.19729595438,350.60158672718563,324.0
3,train_classify_ctx3_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.005527365989011597,0.9397618608916047,0.9470000267028809,0.33425430497379915,0.402,0.36501037669110553,0.9917763611658156,201.0,84139.69869120803,400.3385527398236,299.0
4,train_classify_ctx4_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.005365355135411344,0.9120682158350399,0.9770000576972961,0.46548708346193146,0.28778467908902694,0.35567522265940965,0.9938695063337585,139.0,81506.06403988253,159.61193777113198,344.0
5,train_classify_ctx5_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.005179438522074008,0.8802993072607311,0.9760000705718994,0.49216807111347094,0.2629310344827586,0.3427530482242303,0.9940712155230024,122.0,78327.27176144536,125.88280093828456,342.0
6,train_classify_ctx6_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.005047785704670884,0.8578100241217737,0.9740000367164612,0.46385144041386633,0.26222222222222225,0.3350408140262356,0.9938801140809617,118.0,75949.64172571772,136.39179383536202,332.0
7,train_classify_ctx7_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.0049599260520115885,0.8428049163901409,0.9820000529289246,0.44165565894033615,0.2818181818181818,0.3440804291189878,0.9936826318711129,124.0,74238.4710602256,156.76171444856618,316.0
8,train_classify_ctx8_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.0049278383215895965,0.8373254750422323,0.9690000414848328,0.47914425782492753,0.2620689655172414,0.33881975125999164,0.9939862785944109,114.0,73425.90823192842,123.92417030625037,321.0
9,train_classify_ctx9_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004872661862313148,0.8279041275019663,0.9770000576972961,0.5020097372848006,0.25934579439252337,0.3420060896440355,0.9941326255772289,111.0,72256.16063186163,110.11124895776152,317.0
10,train_classify_ctx10_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.00482837528604119,0.8203429767744946,0.9780000448226929,0.4642435412053798,0.2796208530805687,0.34902107434138435,0.9938671634122883,118.0,71215.61449974742,136.17693414456613,304.0
11,train_classify_ctx11_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004783643618550418,0.8127065176951787,0.9810000658035278,0.483977606033286,0.2620192307692308,0.33997849263252433,0.9940184137515715,109.0,70221.09395493424,116.21703203041056,307.0
12,train_classify_ctx12_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004738460116034487,0.8049936195368718,0.9770000576972961,0.4771707758493806,0.2634146341463415,0.33944434672677815,0.9939722214225825,108.0,69204.49647796531,118.33406207192014,302.0
13,train_classify_ctx13_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004692817897756972,0.7972031288219628,0.9780000448226929,0.43660722535251056,0.29207920792079206,0.3500103384129472,0.9936217317991436,118.0,68156.08429550489,152.2657976049949,286.0
14,train_classify_ctx14_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004646709942558259,0.7893338687473022,0.9810000658035278,0.49631293309728475,0.2814070351758794,0.3591677125957389,0.9940958333816363,112.0,67180.2055690829,113.6640770996115,286.0
15,train_classify_ctx15_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004623599131608285,0.7853898132329366,0.9910000562667847,0.5653373711085096,0.24111675126903553,0.3380534775885137,0.9944481025099522,95.0,66544.50809560026,73.0412526306631,299.0
16,train_classify_ctx16_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.0045412724999410225,0.7713415647961307,0.9780000448226929,0.4613339544597632,0.2831168831168831,0.3508933690982298,0.9938413827934979,109.0,64968.5573196485,127.27135819136156,276.0
17,train_classify_ctx17_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004505519261094841,0.7652413418777811,0.9760000705718994,0.5105989869706475,0.26052631578947366,0.345013897080436,0.9941840099741156,99.0,64155.538379007514,94.88992639284486,281.0
18,train_classify_ctx18_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004528985507246377,0.7692451068603081,0.9690000414848328,0.5151934977535775,0.2710526315789474,0.35521841858100955,0.994214414274071,103.0,64153.50342193599,96.92488346439882,277.0
19,train_classify_ctx19_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004516755124779853,0.7671583593926669,0.9800000190734863,0.5089978943300371,0.26790450928381965,0.3510423715325829,0.9941761070450124,101.0,63645.75897029383,97.42911164286869,276.0
20,train_classify_ctx20_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004516439841021317,0.767104566365748,0.9790000319480896,0.5246826555877339,0.28,0.36514057447221293,0.9942753087751367,105.0,63309.90696673156,95.12096622935276,270.0
21,train_classify_ctx21_ch1_alpha0.20_pwglobal_llm_ts_seed777_splitgroup,0.0058795835021295696,0.004467690966546802,0.7587875496939278,0.9890000224113464,0.5320553361940068,0.23848238482384823,0.32934357909484063,0.994289373578601,88.0,62313.151155964726,77.39633006878063,281.0
